TIME,ACC4,ACC3,ACC2,ACC1,ROOT
488,5969088,16512,0,0,0
489,5985600,16512,0,0,0
490,6002112,16512,0,0,0
491,6018624,16512,0,0,0
492,6035136,16512,0,0,0
493,6051648,16512,0,0,0
494,6068160,16512,0,0,0
495,6084672,16512,0,0,0
496,6101184,16512,0,0,0
497,6117696,16512,0,0,0
498,6134208,16512,0,0,0
499,6150720,16512,0,0,0
500,6167232,16512,0,0,0
501,6183744,16512,0,0,0
502,6200256,16512,0,0,0
503,6216768,16512,0,0,0
504,6233280,16512,0,0,0
505,6249792,16512,0,0,0
506,6266304,16512,0,0,0
507,6282816,16512,0,0,0
508,6299328,16512,0,0,0
509,6315840,16512,0,0,0
510,6332352,16512,0,0,0
511,6348864,16512,0,0,0
512,6365376,16512,0,0,0
513,6381888,16512,0,0,0
514,6398400,16512,0,0,0
515,6414912,16512,0,0,0
516,6431424,16512,0,0,0
517,6447936,16512,0,0,0
518,6464448,16512,0,0,0
519,6480960,16512,0,0,0
520,6497472,16512,0,0,0
521,6513984,16512,0,0,0
522,6530496,16512,0,0,0
523,6547008,16512,0,0,0
524,6563520,16512,0,0,0
525,6580032,16512,0,0,0
526,6596544,16512,0,0,0
527,6613056,16512,0,0,0
528,6629568,16512,0,0,0
529,6646080,16512,0,0,0
530,6662592,16512,0,0,0
531,6679104,16512,0,0,0
532,6695616,16512,0,0,0
533,6712128,16512,0,0,0
534,6728640,16512,0,0,0
535,6745152,16512,0,0,0
536,6761664,16512,0,0,0
537,6778176,16512,0,0,0
538,6794688,16512,0,0,0
539,6811200,16512,0,0,0
540,6827712,16512,0,0,0
541,6844224,16512,0,0,0
542,6860736,16512,0,0,0
543,6877248,16512,0,0,0
544,6893760,16512,0,0,0
545,6910272,16512,0,0,0
546,6926784,16512,0,0,0
547,6943296,16512,0,0,0
548,6959808,16512,0,0,0
549,6976320,16512,0,0,0
550,6992832,16512,0,0,0
551,7009344,16512,0,0,0
552,7025856,16512,0,0,0
553,7042368,16512,0,0,0
554,7058880,16512,0,0,0
555,7075392,16512,0,0,0
556,7091904,16512,0,0,0
557,7108416,16512,0,0,0
558,7124928,16512,0,0,0
559,7141440,16512,0,0,0
560,7157952,16512,0,0,0
561,7174464,16512,0,0,0
562,7190976,16512,0,0,0
563,7207488,16512,0,0,0
564,7224000,16512,0,0,0
565,7240512,16512,0,0,0
566,7257024,16512,0,0,0
567,7273536,16512,0,0,0
568,7290048,16512,0,0,0
569,7306560,16512,0,0,0
570,7323072,16512,0,0,0
571,7339584,16512,0,0,0
572,7356096,16512,0,0,0
573,7372608,16512,0,0,0
574,7389120,16512,0,0,0
575,7405632,16512,0,0,0
576,7422144,16512,0,0,0
577,7438656,16512,0,0,0
578,7455168,16512,0,0,0
579,7471680,16512,0,0,0
580,7488192,16512,0,0,0
581,7504704,16512,0,0,0
582,7521216,16512,0,0,0
583,7537728,16512,0,0,0
584,7554240,16512,0,0,0
585,7570752,16512,0,0,0
586,7587264,16512,0,0,0
587,7603776,16512,0,0,0
588,7620288,16512,0,0,0
